Time 	 E 	 L 	 Deviation in E 	 Deviation in L
1.82212e+00 	 -5.00000e-01 	 1.00000e+00	8.326673e-16 	 8.8817841970012523e-16
1.83469e+00 	 -5.00000e-01 	 1.00000e+00	8.326673e-16 	 8.8817841970012523e-16
1.84726e+00 	 -5.00000e-01 	 1.00000e+00	9.992007e-16 	 1.1102230246251565e-15
1.85982e+00 	 -5.00000e-01 	 1.00000e+00	1.054712e-15 	 1.1102230246251565e-15
1.87239e+00 	 -5.00000e-01 	 1.00000e+00	1.221245e-15 	 1.3322676295501878e-15
1.88496e+00 	 -5.00000e-01 	 1.00000e+00	1.332268e-15 	 1.1102230246251565e-15
1.89752e+00 	 -5.00000e-01 	 1.00000e+00	1.165734e-15 	 1.1102230246251565e-15
1.91009e+00 	 -5.00000e-01 	 1.00000e+00	9.436896e-16 	 1.1102230246251565e-15
1.92265e+00 	 -5.00000e-01 	 1.00000e+00	8.881784e-16 	 1.1102230246251565e-15
1.93522e+00 	 -5.00000e-01 	 1.00000e+00	9.992007e-16 	 8.8817841970012523e-16
1.94779e+00 	 -5.00000e-01 	 1.00000e+00	9.992007e-16 	 8.8817841970012523e-16
1.96035e+00 	 -5.00000e-01 	 1.00000e+00	1.221245e-15 	 1.3322676295501878e-15
1.97292e+00 	 -5.00000e-01 	 1.00000e+00	1.387779e-15 	 1.3322676295501878e-15
1.98549e+00 	 -5.00000e-01 	 1.00000e+00	1.221245e-15 	 1.1102230246251565e-15
1.99805e+00 	 -5.00000e-01 	 1.00000e+00	1.165734e-15 	 1.1102230246251565e-15
2.01062e+00 	 -5.00000e-01 	 1.00000e+00	1.110223e-15 	 1.1102230246251565e-15
2.02319e+00 	 -5.00000e-01 	 1.00000e+00	8.881784e-16 	 8.8817841970012523e-16
2.03575e+00 	 -5.00000e-01 	 1.00000e+00	8.326673e-16 	 8.8817841970012523e-16
2.04832e+00 	 -5.00000e-01 	 1.00000e+00	8.881784e-16 	 8.8817841970012523e-16
2.06088e+00 	 -5.00000e-01 	 1.00000e+00	6.661338e-16 	 8.8817841970012523e-16
2.07345e+00 	 -5.00000e-01 	 1.00000e+00	8.881784e-16 	 8.8817841970012523e-16
2.08602e+00 	 -5.00000e-01 	 1.00000e+00	8.326673e-16 	 8.8817841970012523e-16
2.09858e+00 	 -5.00000e-01 	 1.00000e+00	8.326673e-16 	 8.8817841970012523e-16
2.11115e+00 	 -5.00000e-01 	 1.00000e+00	7.771561e-16 	 8.8817841970012523e-16
2.12372e+00 	 -5.00000e-01 	 1.00000e+00	9.992007e-16 	 8.8817841970012523e-16
2.13628e+00 	 -5.00000e-01 	 1.00000e+00	8.326673e-16 	 8.8817841970012523e-16
2.14885e+00 	 -5.00000e-01 	 1.00000e+00	6.661338e-16 	 8.8817841970012523e-16
2.16142e+00 	 -5.00000e-01 	 1.00000e+00	6.661338e-16 	 8.8817841970012523e-16
2.17398e+00 	 -5.00000e-01 	 1.00000e+00	8.881784e-16 	 8.8817841970012523e-16
2.18655e+00 	 -5.00000e-01 	 1.00000e+00	8.881784e-16 	 8.8817841970012523e-16
2.19911e+00 	 -5.00000e-01 	 1.00000e+00	8.881784e-16 	 8.8817841970012523e-16
2.21168e+00 	 -5.00000e-01 	 1.00000e+00	8.881784e-16 	 8.8817841970012523e-16
2.22425e+00 	 -5.00000e-01 	 1.00000e+00	1.110223e-15 	 1.1102230246251565e-15
2.23681e+00 	 -5.00000e-01 	 1.00000e+00	1.221245e-15 	 1.3322676295501878e-15
2.24938e+00 	 -5.00000e-01 	 1.00000e+00	1.332268e-15 	 1.3322676295501878e-15
2.26195e+00 	 -5.00000e-01 	 1.00000e+00	1.110223e-15 	 1.3322676295501878e-15
2.27451e+00 	 -5.00000e-01 	 1.00000e+00	1.332268e-15 	 1.3322676295501878e-15
2.28708e+00 	 -5.00000e-01 	 1.00000e+00	1.332268e-15 	 1.3322676295501878e-15
2.29965e+00 	 -5.00000e-01 	 1.00000e+00	1.443290e-15 	 1.5543122344752192e-15
2.31221e+00 	 -5.00000e-01 	 1.00000e+00	1.443290e-15 	 1.5543122344752192e-15
2.32478e+00 	 -5.00000e-01 	 1.00000e+00	1.498801e-15 	 1.5543122344752192e-15
2.33734e+00 	 -5.00000e-01 	 1.00000e+00	1.554312e-15 	 1.5543122344752192e-15
2.34991e+00 	 -5.00000e-01 	 1.00000e+00	1.554312e-15 	 1.5543122344752192e-15
2.36248e+00 	 -5.00000e-01 	 1.00000e+00	1.665335e-15 	 1.7763568394002505e-15
2.37504e+00 	 -5.00000e-01 	 1.00000e+00	1.776357e-15 	 1.7763568394002505e-15
2.38761e+00 	 -5.00000e-01 	 1.00000e+00	1.776357e-15 	 1.7763568394002505e-15
2.40018e+00 	 -5.00000e-01 	 1.00000e+00	1.776357e-15 	 1.7763568394002505e-15
2.41274e+00 	 -5.00000e-01 	 1.00000e+00	1.998401e-15 	 1.9984014443252818e-15
2.42531e+00 	 -5.00000e-01 	 1.00000e+00	1.887379e-15 	 1.9984014443252818e-15
2.43788e+00 	 -5.00000e-01 	 1.00000e+00	1.776357e-15 	 1.7763568394002505e-15
2.45044e+00 	 -5.00000e-01 	 1.00000e+00	1.665335e-15 	 1.7763568394002505e-15
2.46301e+00 	 -5.00000e-01 	 1.00000e+00	1.554312e-15 	 1.7763568394002505e-15
2.47558e+00 	 -5.00000e-01 	 1.00000e+00	1.776357e-15 	 1.7763568394002505e-15
2.48814e+00 	 -5.00000e-01 	 1.00000e+00	1.609823e-15 	 1.7763568394002505e-15
2.50071e+00 	 -5.00000e-01 	 1.00000e+00	1.665335e-15 	 1.7763568394002505e-15
2.51327e+00 	 -5.00000e-01 	 1.00000e+00	1.665335e-15 	 1.7763568394002505e-15
2.52584e+00 	 -5.00000e-01 	 1.00000e+00	1.554312e-15 	 1.5543122344752192e-15
2.53841e+00 	 -5.00000e-01 	 1.00000e+00	1.554312e-15 	 1.5543122344752192e-15
2.55097e+00 	 -5.00000e-01 	 1.00000e+00	1.554312e-15 	 1.5543122344752192e-15
2.56354e+00 	 -5.00000e-01 	 1.00000e+00	1.554312e-15 	 1.5543122344752192e-15
2.57611e+00 	 -5.00000e-01 	 1.00000e+00	1.665335e-15 	 1.7763568394002505e-15
2.58867e+00 	 -5.00000e-01 	 1.00000e+00	1.665335e-15 	 1.7763568394002505e-15
2.60124e+00 	 -5.00000e-01 	 1.00000e+00	1.887379e-15 	 1.7763568394002505e-15
2.61381e+00 	 -5.00000e-01 	 1.00000e+00	1.776357e-15 	 1.7763568394002505e-15
2.62637e+00 	 -5.00000e-01 	 1.00000e+00	1.887379e-15 	 1.7763568394002505e-15
2.63894e+00 	 -5.00000e-01 	 1.00000e+00	1.776357e-15 	 1.7763568394002505e-15
2.65150e+00 	 -5.00000e-01 	 1.00000e+00	1.665335e-15 	 1.7763568394002505e-15
2.66407e+00 	 -5.00000e-01 	 1.00000e+00	1.887379e-15 	 1.7763568394002505e-15
2.67664e+00 	 -5.00000e-01 	 1.00000e+00	1.720846e-15 	 1.7763568394002505e-15
2.68920e+00 	 -5.00000e-01 	 1.00000e+00	1.609823e-15 	 1.7763568394002505e-15
2.70177e+00 	 -5.00000e-01 	 1.00000e+00	1.498801e-15 	 1.7763568394002505e-15
2.71434e+00 	 -5.00000e-01 	 1.00000e+00	1.665335e-15 	 1.7763568394002505e-15
2.72690e+00 	 -5.00000e-01 	 1.00000e+00	1.887379e-15 	 1.7763568394002505e-15
2.73947e+00 	 -5.00000e-01 	 1.00000e+00	1.887379e-15 	 1.7763568394002505e-15
2.75204e+00 	 -5.00000e-01 	 1.00000e+00	1.720846e-15 	 1.7763568394002505e-15
2.76460e+00 	 -5.00000e-01 	 1.00000e+00	1.998401e-15 	 1.7763568394002505e-15
2.77717e+00 	 -5.00000e-01 	 1.00000e+00	1.776357e-15 	 1.9984014443252818e-15
2.78973e+00 	 -5.00000e-01 	 1.00000e+00	1.776357e-15 	 1.9984014443252818e-15
2.80230e+00 	 -5.00000e-01 	 1.00000e+00	1.720846e-15 	 1.7763568394002505e-15
2.81487e+00 	 -5.00000e-01 	 1.00000e+00	2.053913e-15 	 1.9984014443252818e-15
2.82743e+00 	 -5.00000e-01 	 1.00000e+00	1.998401e-15 	 1.9984014443252818e-15
2.84000e+00 	 -5.00000e-01 	 1.00000e+00	2.053913e-15 	 2.2204460492503131e-15
2.85257e+00 	 -5.00000e-01 	 1.00000e+00	2.109424e-15 	 1.9984014443252818e-15
