time 	 energy deviation
1.4388494353e-01 	 2.5500024625e-01
1.4451326207e-01 	 2.5500024951e-01
1.4514158060e-01 	 2.5500025281e-01
1.4576989913e-01 	 2.5500025613e-01
1.4639821766e-01 	 2.5500025949e-01
1.4702653619e-01 	 2.5500026287e-01
1.4765485472e-01 	 2.5500026628e-01
1.4828317325e-01 	 2.5500026972e-01
1.4891149178e-01 	 2.5500027320e-01
1.4953981031e-01 	 2.5500027670e-01
1.5016812884e-01 	 2.5500028023e-01
1.5079644737e-01 	 2.5500028379e-01
1.5142476590e-01 	 2.5500028739e-01
1.5205308443e-01 	 2.5500029101e-01
1.5268140296e-01 	 2.5500029466e-01
1.5330972150e-01 	 2.5500029835e-01
1.5393804003e-01 	 2.5500030207e-01
1.5456635856e-01 	 2.5500030581e-01
1.5519467709e-01 	 2.5500030959e-01
1.5582299562e-01 	 2.5500031340e-01
1.5645131415e-01 	 2.5500031724e-01
1.5707963268e-01 	 2.5500032112e-01
1.5770795121e-01 	 2.5500032502e-01
1.5833626974e-01 	 2.5500032896e-01
1.5896458827e-01 	 2.5500033293e-01
1.5959290680e-01 	 2.5500033693e-01
1.6022122533e-01 	 2.5500034096e-01
1.6084954386e-01 	 2.5500034503e-01
1.6147786239e-01 	 2.5500034913e-01
1.6210618093e-01 	 2.5500035326e-01
1.6273449946e-01 	 2.5500035743e-01
1.6336281799e-01 	 2.5500036163e-01
1.6399113652e-01 	 2.5500036586e-01
1.6461945505e-01 	 2.5500037012e-01
1.6524777358e-01 	 2.5500037442e-01
1.6587609211e-01 	 2.5500037875e-01
1.6650441064e-01 	 2.5500038312e-01
1.6713272917e-01 	 2.5500038752e-01
1.6776104770e-01 	 2.5500039195e-01
1.6838936623e-01 	 2.5500039642e-01
1.6901768476e-01 	 2.5500040092e-01
1.6964600329e-01 	 2.5500040546e-01
1.7027432182e-01 	 2.5500041003e-01
1.7090264036e-01 	 2.5500041464e-01
1.7153095889e-01 	 2.5500041928e-01
1.7215927742e-01 	 2.5500042395e-01
1.7278759595e-01 	 2.5500042866e-01
1.7341591448e-01 	 2.5500043341e-01
1.7404423301e-01 	 2.5500043819e-01
1.7467255154e-01 	 2.5500044301e-01
1.7530087007e-01 	 2.5500044787e-01
1.7592918860e-01 	 2.5500045276e-01
1.7655750713e-01 	 2.5500045768e-01
1.7718582566e-01 	 2.5500046264e-01
1.7781414419e-01 	 2.5500046764e-01
1.7844246272e-01 	 2.5500047268e-01
1.7907078125e-01 	 2.5500047775e-01
1.7969909979e-01 	 2.5500048286e-01
1.8032741832e-01 	 2.5500048800e-01
1.8095573685e-01 	 2.5500049318e-01
1.8158405538e-01 	 2.5500049840e-01
1.8221237391e-01 	 2.5500050366e-01
1.8284069244e-01 	 2.5500050896e-01
1.8346901097e-01 	 2.5500051429e-01
1.8409732950e-01 	 2.5500051966e-01
1.8472564803e-01 	 2.5500052507e-01
1.8535396656e-01 	 2.5500053051e-01
1.8598228509e-01 	 2.5500053600e-01
1.8661060362e-01 	 2.5500054152e-01
1.8723892215e-01 	 2.5500054708e-01
1.8786724068e-01 	 2.5500055268e-01
1.8849555922e-01 	 2.5500055832e-01
1.8912387775e-01 	 2.5500056400e-01
1.8975219628e-01 	 2.5500056972e-01
1.9038051481e-01 	 2.5500057547e-01
1.9100883334e-01 	 2.5500058127e-01
1.9163715187e-01 	 2.5500058710e-01
1.9226547040e-01 	 2.5500059298e-01
1.9289378893e-01 	 2.5500059889e-01
1.9352210746e-01 	 2.5500060485e-01
1.9415042599e-01 	 2.5500061084e-01
1.9477874452e-01 	 2.5500061688e-01
1.9540706305e-01 	 2.5500062295e-01
1.9603538158e-01 	 2.5500062907e-01
1.9666370011e-01 	 2.5500063523e-01
1.9729201865e-01 	 2.5500064143e-01
1.9792033718e-01 	 2.5500064767e-01
1.9854865571e-01 	 2.5500065395e-01
1.9917697424e-01 	 2.5500066027e-01
1.9980529277e-01 	 2.5500066663e-01
2.0043361130e-01 	 2.5500067304e-01
2.0106192983e-01 	 2.5500067948e-01
2.0169024836e-01 	 2.5500068597e-01
2.0231856689e-01 	 2.5500069250e-01
2.0294688542e-01 	 2.5500069908e-01
2.0357520395e-01 	 2.5500070569e-01
2.0420352248e-01 	 2.5500071235e-01
2.0483184101e-01 	 2.5500071905e-01
2.0546015954e-01 	 2.5500072580e-01
