t/T 	 E_L 	 E_K  
4592.342426 	 0.000069964551 	 0.004839265387 
4592.490753 	 0.000074578592 	 0.004839274078 
4592.639080 	 0.000076697979 	 0.004839274021 
4592.787406 	 0.000077582352 	 0.004839270492 
4592.935733 	 0.000077923696 	 0.004839234431 
4593.084060 	 0.000078037871 	 0.004839104854 
4593.232386 	 0.000078063289 	 0.004838800818 
4593.380713 	 0.000078064468 	 0.004838254983 
4593.529040 	 0.000078064309 	 0.004837475633 
4593.677366 	 0.000078048910 	 0.004836617714 
4593.825693 	 0.000077965145 	 0.004835998194 
4593.974020 	 0.000077698529 	 0.004835972332 
4594.122346 	 0.000076991165 	 0.004836674500 
4594.270673 	 0.000075263891 	 0.004837816287 
4594.419000 	 0.000071401641 	 0.004838810578 
4594.567326 	 0.000063782745 	 0.004839218394 
4594.715653 	 0.000051021650 	 0.004839109194 
4594.863980 	 0.000033576419 	 0.004838954050 
4595.012306 	 0.000015232850 	 0.004839185750 
4595.160633 	 0.000002472078 	 0.004839887951 
4595.308960 	 0.000000907345 	 0.004840838570 
4595.457287 	 0.000011279722 	 0.004841744621 
4595.605613 	 0.000028887897 	 0.004842421432 
4595.753940 	 0.000047048318 	 0.004842829882 
4595.902267 	 0.000061126181 	 0.004843025159 
4596.050593 	 0.000069930193 	 0.004843092207 
4596.198920 	 0.000074561948 	 0.004843104008 
4596.347247 	 0.000076690781 	 0.004843104047 
4596.495573 	 0.000077579474 	 0.004843101821 
4596.643900 	 0.000077922650 	 0.004843072444 
4596.792227 	 0.000078037577 	 0.004842958501 
4596.940553 	 0.000078063254 	 0.004842680248 
4597.088880 	 0.000078064469 	 0.004842165886 
4597.237207 	 0.000078064321 	 0.004841410367 
4597.385533 	 0.000078049107 	 0.004840547839 
4597.533860 	 0.000077965936 	 0.004839878648 
4597.682187 	 0.000077700794 	 0.004839765564 
4597.830513 	 0.000076996937 	 0.004840384875 
4597.978840 	 0.000075277534 	 0.004841501709 
4598.127167 	 0.000071430719 	 0.004842545465 
4598.275493 	 0.000063836393 	 0.004843032852 
4598.423820 	 0.000051104058 	 0.004842966147 
4598.572147 	 0.000033677043 	 0.004842788294 
4598.720474 	 0.000015322299 	 0.004842960037 
4598.868800 	 0.000002513898 	 0.004843612284 
4599.017127 	 0.000000881879 	 0.004844548983 
4599.165454 	 0.000011199121 	 0.004845473481 
4599.313780 	 0.000028786699 	 0.004846183142 
4599.462107 	 0.000046959527 	 0.004846622776 
4599.610434 	 0.000061065231 	 0.004846839727 
4599.758760 	 0.000069895715 	 0.004846918096 
4599.907087 	 0.000074545233 	 0.004846933670 
4600.055414 	 0.000076683549 	 0.004846933946 
4600.203740 	 0.000077576582 	 0.004846932649 
4600.352067 	 0.000077921598 	 0.004846909085 
4600.500394 	 0.000078037281 	 0.004846809551 
4600.648720 	 0.000078063219 	 0.004846555944 
4600.797047 	 0.000078064470 	 0.004846072903 
4600.945374 	 0.000078064334 	 0.004845343201 
4601.093700 	 0.000078049302 	 0.004844480708 
4601.242027 	 0.000077966722 	 0.004843767613 
4601.390354 	 0.000077703047 	 0.004843570236 
4601.538681 	 0.000077002681 	 0.004844103014 
4601.687007 	 0.000075291117 	 0.004845185682 
4601.835334 	 0.000071459689 	 0.004846271073 
4601.983661 	 0.000063889889 	 0.004846838193 
4602.131987 	 0.000051186324 	 0.004846821308 
4602.280314 	 0.000033777633 	 0.004846628157 
